,round_num,team_home,team_away,week_day,time,stadium,referee
197,20,Botafogo - RJ,Grêmio - RS,Domingo,19:00,Nilton Santos - Rio de Janeiro - RJ,Wagner Reway
198,20,Sport - PE,Ponte Preta - SP,Domingo,16:00,Ilha do Retiro - Recife - PE,Leandro Pedro Vuaden
199,20,Chapecoense - SC,Corinthians - SP,Quarta,19:30,Arena Condá - Chapeco - SC,Paulo Roberto Alves Junior
200,21,Corinthians - SP,Vitória - BA,Sábado,16:00,Arena Corinthians - Sao Paulo - SP,Eduardo Tomaz de Aquino Valadao
201,21,Flamengo - RJ,Atlético - GO,Sábado,19:00,Luso Brasileiro - Rio de Janeiro - RJ,Rodolpho Toski Marques
202,21,Ponte Preta - SP,Botafogo - RJ,Domingo,16:00,Moisés Lucarelli - Campinas - SP,Dewson Fernando Freitas da Silva
203,21,Cruzeiro - MG,Sport - PE,Domingo,16:00,Mineirão - Belo Horizonte - MG,Caio Max Augusto Vieira
204,21,Bahia - BA,Vasco da Gama - RJ,Domingo,16:00,Arena Fonte Nova - Salvador - BA,Raphael Claus
205,21,Avaí - SC,São Paulo - SP,Domingo,16:00,Ressacada - Florianopolis - SC,Leandro Pedro Vuaden
206,21,Grêmio - RS,Atlético - PR,Domingo,11:00,Arena do Grêmio - Porto Alegre - RS,Jailson Macedo Freitas
207,21,Palmeiras - SP,Chapecoense - SC,Domingo,19:00,Allianz Parque - Sao Paulo - SP,Dyorgines Jose Padovani de Andrade
208,21,Coritiba - PR,Santos - SP,Domingo,19:00,Couto Pereira - Curitiba - PR,Sandro Meira Ricci
209,21,Fluminense - RJ,Atlético - MG,Segunda,20:00,Maracanã - Rio de Janeiro - RJ,Vinicius Goncalves Dias Araujo
210,22,Fluminense - RJ,Vasco da Gama - RJ,Sábado,16:00,Maracanã - Rio de Janeiro - RJ,Ricardo Marques Ribeiro
211,22,Corinthians - SP,Atlético - GO,Sábado,19:00,Arena Corinthians - Sao Paulo - SP,Pericles Bassols Pegado Cortez
212,22,Grêmio - RS,Sport - PE,Sábado,16:00,Arena do Grêmio - Porto Alegre - RS,Andre Luiz de Freitas Castro
213,22,Avaí - SC,Chapecoense - SC,Domingo,19:00,Ressacada - Florianopolis - SC,Braulio da Silva Machado
214,22,Flamengo - RJ,Atlético - PR,Domingo,16:00,Luso Brasileiro - Rio de Janeiro - RJ,Marcelo Aparecido R de Souza
215,22,Palmeiras - SP,São Paulo - SP,Domingo,16:00,Allianz Parque - Sao Paulo - SP,Sandro Meira Ricci
216,22,Bahia - BA,Botafogo - RJ,Domingo,16:00,Arena Fonte Nova - Salvador - BA,Heber Roberto Lopes
217,22,Ponte Preta - SP,Atlético - MG,Domingo,16:00,Moisés Lucarelli - Campinas - SP,Rodolpho Toski Marques
218,22,Cruzeiro - MG,Santos - SP,Domingo,19:00,Mineirão - Belo Horizonte - MG,Anderson Daronco
219,22,Coritiba - PR,Vitória - BA,Segunda,20:00,Couto Pereira - Curitiba - PR,Flavio Rodrigues de Souza
220,23,Atlético - MG,Palmeiras - SP,Sábado,16:00,Independência - Belo Horizonte - MG,Leandro Pedro Vuaden
221,23,São Paulo - SP,Ponte Preta - SP,Sábado,19:00,Morumbi - Sao Paulo - SP,Marcelo de Lima Henrique
222,23,Atlético - PR,Coritiba - PR,Domingo,11:00,Arena da Baixada - Curitiba - PR,Anderson Daronco
223,23,Vasco da Gama - RJ,Grêmio - RS,Sábado,18:00,São Januário - Rio de Janeiro - RJ,Heber Roberto Lopes
224,23,Santos - SP,Corinthians - SP,Domingo,16:00,Vila Belmiro - Santos - SP,Raphael Claus
225,23,Sport - PE,Avaí - SC,Domingo,16:00,Ilha do Retiro - Recife - PE,Wagner do Nascimento Magalhaes
226,23,Vitória - BA,Fluminense - RJ,Domingo,16:00,Manoel Barradas - Salvador - BA,Wagner Reway
227,23,Botafogo - RJ,Flamengo - RJ,Domingo,19:00,Nilton Santos - Rio de Janeiro - RJ,Ricardo Marques Ribeiro
228,23,Chapecoense - SC,Cruzeiro - MG,Domingo,19:00,Arena Condá - Chapeco - SC,Leandro Bizzio Marinho
229,23,Atlético - GO,Bahia - BA,Segunda,20:00,Olímpico Pedro Ludovico - Goiania - GO,Thiago Duarte Peixoto
230,24,Ponte Preta - SP,Atlético - GO,Sábado,21:00,Moisés Lucarelli - Campinas - SP,Braulio da Silva Machado
231,24,Botafogo - RJ,Santos - SP,Sábado,19:00,Nilton Santos - Rio de Janeiro - RJ,Igor Junio Benevenuto
232,24,Palmeiras - SP,Coritiba - PR,Segunda,20:00,Pacaembu - Sao Paulo - SP,Dewson Fernando Freitas da Silva
233,24,Grêmio - RS,Chapecoense - SC,Domingo,16:00,Arena do Grêmio - Porto Alegre - RS,Marcelo de Lima Henrique
